x,y,S34,Ca43,Fe56,Zn66,W182
1.1999999999999995,0.03,24892.36,362.50,14217.40,360.00,0.00
1.2149999999999994,0.03,25042.63,437.51,210.00,350.00,0.00
1.2299999999999993,0.03,24151.05,325.00,270.00,240.00,0.00
1.2449999999999992,0.03,25783.99,250.00,150.00,360.00,0.00
1.2599999999999991,0.03,24171.08,250.00,170.00,290.00,0.00
1.274999999999999,0.03,25703.84,175.00,190.00,320.00,0.00
1.289999999999999,0.03,24802.20,200.00,1270.06,280.00,0.00
1.3049999999999988,0.03,24421.52,150.00,190.00,170.00,0.00
1.3199999999999987,0.03,23950.70,187.50,200.00,310.00,0.00
1.3349999999999986,0.03,25543.54,137.50,280.00,150.00,0.00
1.3499999999999985,0.03,25523.51,300.00,120.00,260.00,0.00
1.3649999999999984,0.03,25082.70,175.00,290.00,320.00,20.00
1.3799999999999983,0.03,24401.48,262.50,220.00,140.00,0.00
1.3949999999999982,0.03,24441.55,87.50,130.00,240.00,0.00
1.4099999999999981,0.03,24010.80,237.50,110.00,110.00,0.00
1.424999999999998,0.03,24361.42,150.00,210.00,190.00,0.00
1.439999999999998,0.03,23369.71,237.50,210.00,180.00,0.00
1.4549999999999979,0.03,24932.43,75.00,140.00,270.00,0.00
1.4699999999999978,0.03,24221.17,50.00,290.00,190.00,0.00
1.4849999999999977,0.03,24481.63,75.00,180.00,190.00,0.00
1.4999999999999976,0.03,24772.14,50.00,210.00,260.00,0.00
1.5149999999999975,0.03,24521.70,87.50,110.00,220.00,0.00
1.5299999999999974,0.03,24521.70,12.50,190.00,230.00,0.00
1.5449999999999973,0.03,23439.82,62.50,230.00,490.01,10.00
1.5599999999999972,0.03,24281.27,50.00,310.00,280.00,0.00
1.574999999999997,0.03,24361.42,62.50,820.02,220.00,0.00
1.589999999999997,0.03,25052.65,25.00,1440.08,350.00,0.00
1.6049999999999969,0.03,24942.45,87.50,310.00,210.00,0.00
1.6199999999999968,0.03,25323.14,25.00,1270.06,480.01,10.00
1.6349999999999967,0.03,24501.66,37.50,100.00,110.00,10.00
0.015,0.045,24581.80,25.00,220.00,320.00,0.00
0.03,0.045,25383.25,475.01,430.01,110.00,0.00
0.045,0.045,24451.57,125.00,270.00,300.00,0.00
0.06,0.045,23980.75,162.50,270.00,200.00,0.00
0.075,0.045,25383.25,600.01,300.00,130.00,0.00
0.09,0.045,24561.77,200.00,300.00,360.00,0.00
0.105,0.045,24321.34,550.01,210.00,240.00,0.00
0.12,0.045,24732.07,312.50,210.00,140.00,0.00
0.135,0.045,25954.30,275.00,210.00,310.00,0.00
0.15000000000000002,0.045,24862.30,287.50,220.00,270.00,0.00
0.16500000000000004,0.045,23219.46,100.00,150.00,130.00,10.00
